atp_plauers,Name,Player ID,Points,Popularity Index
1,Carlos Alcaraz,207989,6815,0.951435366
2,Jeremy Chardy,104871,65,0.15
3,Alexandre Muller,124186,639,0.357798561
4,Arthur Rinderknech,126239,725,0.526810641
5,Jason Kubler,106186,777,0.669386447
6,Ugo Humbert,200005,1026,0.687718722
7,Marco Cecchinato,106065,733,0.551280763
8,Nicolas Jarry,111797,862,0.675708592
9,Alexander Zverev,100644,1360,0.754482072
10,Gijs Brouwer,133835,435,0.15
11,Marc Andrea Huesler,144817,719,0.478962443
12,Yosuke Watanuki,133297,507,0.15
13,Matteo Berrettini,126610,1832,0.735676729
14,Lorenzo Sonego,132283,925,0.683325116
15,Kimmer Coppejans,106293,352,0.15
16,Alex De Minaur,200282,1870,0.713370241
17,Frances Tiafoe,126207,2790,0.742231076
18,Yibing Wu,200059,839,0.672262795
19,Dominic Stricker,208502,541,0.15
20,Alexei Popyrin,200615,707,0.471500716
21,Ilya Ivashka,125802,696,0.475850202
22,Federico Coria,105948,656,0.385495692
23,Sho Shimabukuro,200647,332,0.15
24,Grigor Dimitrov,105777,1125,0.696190239
25,Alejandro Davidovich Fokina,200221,1115,0.651479465
26,Arthur Fils,209950,559,0.15
27,Zhizhen Zhang,111190,740,0.703647908
28,Botic Van De Zandschulp,122298,1215,0.711303807
29,Matteo Arnaldi,208286,592,0.15
30,Roberto Carballes Baena,106148,841,0.621700934
31,George Loffhagen,207785,89,0.15
32,Holger Rune,208029,4375,0.757187125
33,Daniil Medvedev,106421,6330,0.909412351
34,Arthur Fery,209259,105,0.15
35,Adrian Mannarino,105173,917,0.664613992
36,Alexander Shevchenko,207686,703,0.413274602
37,Marcos Giron,106218,730,0.482129632
38,Hugo Dellien,106198,375,0.15
39,Marton Fucsovics,105916,720,0.480403386
40,Tallon Griekspoor,134868,1024,0.66870228
41,Francisco Cerundolo,202103,1345,0.754384494
42,Nuno Borges,132686,727,0.514282235
43,Jiri Lehecka,208103,994,0.639001511
44,Sebastian Ofner,124116,534,0.15
45,Milos Raonic,105683,#N/A,0.15
46,Dennis Novak,110602,362,0.15
47,Shintaro Mochizuki,208278,291,0.15
48,Tommy Paul,126205,2135,0.762597107
49,Cameron Norrie,111815,2520,0.762690351
50,Tomas Machac,207830,499,0.15
51,Christopher Eubanks,111153,729,0.50770218
52,Thiago Monteiro,106329,652,0.371576557
53,Christopher Oconnell,106331,702,0.447274532
54,Hamad Medjedovic,209098,353,0.15
55,Jiri Vesely,106210,92,0.15
56,Sebastian Korda,200624,1265,0.728527018
57,Ben Shelton,210097,1095,0.636980981
58,Taro Daniel,106121,566,0.15
59,Maxime Cressy,202195,975,0.667289806
60,Laslo Djere,111513,845,0.682693355
61,Ryan Peniston,126106,317,0.15
62,Andy Murray,104918,975,0.902930777
63,Dominic Thiem,106233,666,0.682146414
64,Stefanos Tsitsipas,126774,4775,0.809150896
65,Jannik Sinner,206173,3435,0.737248328
66,Juan Manuel Cerundolo,207678,601,0.15
67,Miomir Kecmanovic,200175,1055,0.666685563
68,Diego Schwartzman,106043,660,0.657893426
69,Aleksandar Vukic,126846,654,0.38536899
70,Daniel Altmaier,127157,733,0.549095084
71,Quentin Halys,111460,686,0.410055525
72,Daniel Evans,105554,1480,0.710524434
73,Yoshihito Nishioka,106415,1181,0.704411043
74,Daniel Elahi Galan,123755,671,0.440967503
75,Dominik Koepfer,136440,620,0.15
76,Oscar Otte,106214,521,0.15
77,Mikael Ymer,144707,876,0.656779414
78,Alex Molcan,144684,705,0.464937264
79,Yannick Hanfmann,105870,791,0.617632344
80,Taylor Fritz,126203,3390,0.702953166
81,Borna Coric,106432,2410,0.672883466
82,Guido Pella,105550,105,0.15
83,Benjamin Bonzi,126127,783,0.657161235
84,Harold Mayot,208004,304,0.15
85,Corentin Moutet,144895,823,0.685602316
86,Richard Gasquet,104755,901,0.682510554
87,Roman Safiullin,126128,647,0.393409134
88,Roberto Bautista Agut,105138,1485,0.694260458
89,Denis Shapovalov,133430,1210,0.718765592
90,Radu Albot,105430,564,0.15
91,Lloyd Harris,144750,165,0.15
92,Gregoire Barrere,106296,846,0.678835543
93,Liam Broady,106281,433,0.15
94,Constant Lestienne,106005,769,0.614001658
95,Laurent Lokoli,106362,309,0.15
96,Casper Ruud,134770,4915,0.796003043
97,Andrey Rublev,126094,4270,0.711094819
98,Max Purcell,126845,781,0.694629347
99,Luca Van Assche,209414,725,0.521860961
100,Aslan Karatsev,106234,818,0.665464635
101,Sebastian Baez,202104,955,0.694135649
102,Tomas Barrios Vera,144642,415,0.15
103,David Goffin,105676,550,0.15
104,Nick Kyrgios,106401,1465,0.792280876
105,Alexander Bublik,122330,915,0.66934079
106,Mackenzie Mcdonald,111456,845,0.677276724
107,J J Wolf,200670,905,0.644369288
108,Enzo Couacaud,111505,380,0.15
109,Maximilian Marterer,109739,419,0.15
110,Borna Gojo,127339,618,0.15
111,Michael Mmoh,111581,517,0.15
112,Felix Auger Aliassime,200000,3065,0.710073077
113,Lorenzo Musetti,207518,2040,0.7456974
114,Juan Pablo Varillas,122669,648,0.376406605
115,John Isner,104545,675,0.623543327
116,Jaume Munar,144719,725,0.511522801
117,Jan Choinski,123828,339,0.15
118,Dusan Lajovic,105583,899,0.618286902
119,Albert Ramos,105077,782,0.64634884
120,Hubert Hurkacz,128034,2525,0.732245669
121,Tomas Martin Etcheverry,144869,920,0.655799217
122,Bernabe Zapata Miralles,126523,1041,0.615883734
123,Emil Ruusuvuori,200325,956,0.684874314
124,Stan Wawrinka,104527,684,0.444704288
125,Jordan Thompson,111442,737,0.582893426
126,Brandon Nakashima,206909,877,0.694979168
127,Pedro Cachin,106398,793,0.66022639
128,Novak Djokovic,104925,5955,0.97749004
