,atp_rank,player,popularity,popularity_rank,,,,,,,,,,,
1,1,207989,0.951,3,,,,,,,,,,,
2,2,106421,0.909,4,,,,,,,,,,,
3,3,104925,0.977,2,,,,,,,,,,,
4,4,134770,0.796,7,,,,,,,,,,,
5,5,126774,0.809,6,,,,,,,,,,,
6,6,208029,0.757,12,,,,,,,,,,,
7,7,126094,0.711,25,,,,,,,,,,,
8,8,206173,0.737,18,,,,,,,,,,,
9,9,126203,0.703,31,,,,,,,,,,,
10,10,200000,0.710,28,,,,,,,,,,,
11,11,111575,0.764,9,,,,,,,,,,,
12,12,126207,0.742,16,,,,,,,,,,,
13,13,128034,0.732,20,,,,,,,,,,,
14,14,111815,0.763,10,,,,,,,,,,,
15,15,104745,1.000,1,,,,,,,,,,,
16,16,106432,0.673,47,,,,,,,,,,,
17,17,126205,0.763,11,,,,,,,,,,,
18,18,207518,0.746,15,,,,,,,,,,,
19,19,200282,0.713,23,,,,,,,,,,,
20,20,126610,0.736,19,,,,,,,,,,,
21,21,105807,0.621,69,,,,,,,,,,,
22,22,105227,0.711,26,,,,,,,,,,,
23,23,105138,0.694,35,,,,,,,,,,,
24,24,105554,0.711,27,,,,,,,,,,,
25,25,106401,0.792,8,,,,,,,,,,,
26,26,105526,0.739,17,,,,,,,,,,,
27,27,100644,0.754,13,,,,,,,,,,,
28,28,202103,0.754,14,,,,,,,,,,,
29,29,200624,0.729,21,,,,,,,,,,,
30,30,122298,0.711,24,,,,,,,,,,,
31,31,133430,0.719,22,,,,,,,,,,,
32,32,106415,0.704,29,,,,,,,,,,,
33,33,105777,0.696,32,,,,,,,,,,,
34,34,200221,0.651,61,,,,,,,,,,,
35,35,210097,0.637,66,,,,,,,,,,,
36,36,200175,0.667,53,,,,,,,,,,,
37,37,126523,0.616,72,,,,,,,,,,,
38,38,200005,0.688,37,,,,,,,,,,,
39,39,134868,0.669,51,,,,,,,,,,,
40,40,208103,0.639,64,,,,,,,,,,,
41,41,104918,0.903,5,,,,,,,,,,,
42,42,202195,0.667,52,,,,,,,,,,,
43,43,200325,0.685,39,,,,,,,,,,,
44,44,202104,0.694,36,,,,,,,,,,,
45,45,132283,0.683,40,,,,,,,,,,,
46,46,144869,0.656,60,,,,,,,,,,,
47,47,105173,0.665,55,,,,,,,,,,,
48,48,122330,0.669,50,,,,,,,,,,,
49,49,200670,0.644,63,,,,,,,,,,,
50,50,104755,0.683,42,,,,,,,,,,,
51,51,105583,0.618,70,,,,,,,,,,,
52,52,206909,0.695,33,,,,,,,,,,,
53,53,144707,0.657,59,,,,,,,,,,,
54,54,111797,0.676,46,,,,,,,,,,,
55,55,106296,0.679,44,,,,,,,,,,,
56,56,111456,0.677,45,,,,,,,,,,,
57,57,111513,0.683,41,,,,,,,,,,,
58,58,106148,0.622,68,,,,,,,,,,,
59,59,200059,0.672,48,,,,,,,,,,,
60,60,207733,0.639,65,,,,,,,,,,,
61,61,144895,0.686,38,,,,,,,,,,,
62,62,106234,0.665,54,,,,,,,,,,,
63,63,106398,0.660,56,,,,,,,,,,,
64,64,105870,0.618,71,,,,,,,,,,,
65,65,126127,0.657,58,,,,,,,,,,,
66,66,105077,0.646,62,,,,,,,,,,,
67,67,126845,0.695,34,,,,,,,,,,,
68,68,106186,0.669,49,,,,,,,,,,,
69,69,106005,0.614,73,,,,,,,,,,,
70,70,111190,0.704,30,,,,,,,,,,,
71,71,111442,0.583,74,,,,,,,,,,,
72,72,127157,0.549,76,,,,,,,,,,,
73,73,106065,0.551,75,,,,,,,,,,,
74,74,106218,0.482,82,,,,,,,,,,,
75,75,111153,0.508,81,,,,,,,,,,,
76,76,132686,0.514,79,,,,,,,,,,,
77,77,144719,0.512,80,,,,,,,,,,,
78,78,126239,0.527,77,,,,,,,,,,,
79,79,209414,0.522,78,,,,,,,,,,,
80,80,105916,0.480,83,,,,,,,,,,,
81,81,144817,0.479,84,,,,,,,,,,,
82,82,200615,0.472,86,,,,,,,,,,,
83,83,144684,0.465,87,,,,,,,,,,,
84,84,207686,0.413,91,,,,,,,,,,,
85,85,106331,0.447,88,,,,,,,,,,,
86,86,125802,0.476,85,,,,,,,,,,,
87,87,111460,0.410,92,,,,,,,,,,,
88,88,104527,0.445,89,,,,,,,,,,,
89,89,104545,0.624,67,,,,,,,,,,,
90,90,123755,0.441,90,,,,,,,,,,,
91,91,106233,0.682,43,,,,,,,,,,,
92,92,105936,0.406,93,,,,,,,,,,,
93,93,106043,0.658,57,,,,,,,,,,,
94,94,105948,0.385,96,,,,,,,,,,,
95,95,126846,0.385,97,,,,,,,,,,,
96,96,106329,0.372,99,,,,,,,,,,,
97,97,122669,0.376,98,,,,,,,,,,,
98,98,126128,0.393,95,,,,,,,,,,,
99,99,202385,0.399,94,,,,,,,,,,,
100,100,124186,0.358,100,,,,,,,,,,,
